Suburb,State,Postcode,Lat,Lng,Bounds_N,Bounds_E,Bounds_S,Bounds_W
Busby,NSW,2168,-33.9117729,150.8783824,-33.8943863,150.9077494,-33.9278929,150.848468
Bushfield,VIC,3281,-38.2466034,142.5532048,-38.1911068,142.6186308,-38.3430452,142.4085678
Bushland Beach,QLD,4818,-19.2049974,146.5168094,-19.0983334,146.7597032,-19.3560972,146.3839025
Bushy Park,VIC,3860,-37.6951451,146.9661233,-37.4325262,147.1957947,-38.0393099,146.7263199
Butchers Creek,QLD,4885,-17.3535838,145.5936206,-17.2876732,145.7532896,-17.482218,145.4960345
Butchers Ridge,VIC,3885,-37.2938907,148.2804541,-36.8194932,148.5246194,-37.7936879,147.7632228
Bute,SA,5560,-33.9141345,138.0406759,-33.7729313,138.1102136,-34.0293197,137.9109373
Butler,SA,5605,-34.4192193,136.018188,-33.9868638,136.374338,-34.6836889,135.933037
Butler,WA,6036,-31.6465364,115.692424,-31.6299818,115.7198381,-31.6570658,115.6683433
Buttaba,NSW,2283,-33.050132,151.5953736,-32.9625826,151.6575219,-33.1745202,151.5089377
Buttai,NSW,2323,-32.9103365,151.4902483,-32.7191499,151.6263685,-33.0153192,151.4204837
Buxton,NSW,2571,-34.2011979,150.6401218,-34.1140188,150.7429184,-34.3363281,150.4835435
Buxton,VIC,3711,-37.430404,145.702282,-37.3806699,145.7585069,-37.4895212,145.6691789
Byadbo Wilderness,NSW,2628,-36.5490119,148.7831534,-36.055745,148.9737284,-36.993276,148.3952794
Byaduk,VIC,3301,-37.7255033,141.8945505,-37.5694379,142.290031,-38.1619965,141.635982
Byaduk North,VIC,3300,-37.783845,142.0003599,-37.647161,142.0987428,-37.9199859,141.9126398
Byangum,NSW,2484,-28.3541283,153.3446649,-28.2309339,153.5725777,-28.5427325,153.1071997
Bybera,QLD,4387,-28.4158556,151.0800137,-28.1517524,151.6295987,-28.7761424,150.7219219
Byfield,QLD,4703,-23.1334578,150.7333257,-22.7410585,150.8848408,-23.2590007,150.4923595
Byford,WA,6122,-32.2702417,116.0650307,-32.179658,116.1129586,-32.3141895,115.951905
Bylands,VIC,3762,-37.3564385,144.9721978,-37.3241958,145.0102405,-37.3769911,144.860631
Byrneside,VIC,3617,-36.4005389,145.1706992,-36.3783659,145.2047121,-36.4401568,145.1135359
Byrock,NSW,2831,-31.038393,146.741207,-30.064509,149.491992,-32.4536235,145.5733889
Byron Bay,NSW,2481,-28.6283277,153.568808,-28.5620316,153.6388316,-28.7643169,153.4675879
Byrrill Creek,NSW,2484,-28.3541283,153.3446649,-28.2309339,153.5725777,-28.5427325,153.1071997
Bywong,NSW,2621,-35.4176011,149.4490642,-35.1221184,149.5779774,-35.8651907,149.2523577
Cabarita,NSW,2137,-33.8543494,151.1024569,-33.8344387,151.1218355,-33.8696826,151.0826747
Cabarita,VIC,3505,-34.189156,141.8100218,-34.0908859,142.100694,-34.276775,141.696346
Cabarita Beach,NSW,2488,-28.3352184,153.5393031,-28.3148767,153.5782238,-28.3551901,153.5206147
Cabbage Tree Creek,VIC,3889,-37.609984,148.8289611,-37.2980157,149.1688144,-37.7899636,148.5995638
Cabbage Tree Island,NSW,2477,-28.9094612,153.4154233,-28.7548309,153.510679,-29.0010987,153.3624948
Cable Beach,WA,6726,-17.9521644,122.2114952,-17.9193069,122.226029,-17.9781422,122.1811284
Caboolture,QLD,4510,-27.0796844,152.9518951,-26.9694587,153.1309874,-27.1517353,152.8061272
Caboolture South,QLD,4510,-27.0796844,152.9518951,-26.9694587,153.1309874,-27.1517353,152.8061272
Caboonbah,QLD,4312,-27.236469,152.4186279,-27.0532597,152.7393334,-27.410255,152.1340354
Cabramatta,NSW,2166,-33.8961316,150.9365521,-33.8742853,150.9795527,-33.9109701,150.8994916
Cabramatta West,NSW,2166,-33.8961316,150.9365521,-33.8742853,150.9795527,-33.9109701,150.8994916
Cabramurra,NSW,2629,-36.0002232,148.7831534,-35.5626363,148.9288919,-36.1336329,148.3252141
Caddens,NSW,2747,-33.7568098,150.7330562,-33.6829467,150.8167443,-33.783414,150.7097358
Cadell,SA,5321,-34.0848077,139.7933279,-34.0204622,139.8575806,-34.1591416,139.6751927
Cadell Lagoon,SA,5321,-34.0848077,139.7933279,-34.0204622,139.8575806,-34.1591416,139.6751927
Cadello,VIC,3442,-37.3324774,144.5437205,-37.2363959,144.6947996,-37.4598981,144.4247633
Cadgee,NSW,2545,-36.1284919,149.7948904,-35.9746577,150.1415849,-36.2398179,149.5430234
Cadia,NSW,2800,-33.2792017,149.0582632,-32.9985831,149.3372039,-33.5943748,148.7077516
Cadoux,WA,6466,-30.740808,117.1264753,-30.6338023,117.2577158,-30.801981,116.9147375
Caffreys Flat,NSW,2424,-31.6440437,152.0282394,-31.4766999,152.2752378,-31.9169621,151.7533434
Cairdbeign,QLD,4722,-24.1146499,148.0873152,-23.7767545,148.6647995,-25.2839085,146.5724582
Cairnlea,VIC,3023,-37.7687064,144.7521888,-37.7033042,144.8059178,-37.7960464,144.716344
Cairns Bay,TAS,7116,-43.1516532,146.8904415,-43.0532569,147.1007138,-43.2918765,146.7752596
Cairns North,QLD,4870,-16.918648,145.7405497,-16.8453462,145.7965497,-17.176471,145.6145881
Calamvale,QLD,4116,-27.6238851,153.0499871,-27.6040398,153.0815542,-27.6567954,153.032277
Calca,SA,5671,-33.0665995,134.5878439,-32.8985664,134.8206652,-33.2457725,134.2595518
Calcium,QLD,4816,-21.1851758,145.1375834,-18.1487366,147.3477239,-22.1042482,141.3086607
Calder,TAS,7325,-41.0680807,145.6211457,-40.9318967,145.8202565,-41.278962,145.4017078
Calder Park,VIC,3037,-37.6940036,144.7521888,-37.6629586,144.7932906,-37.7279638,144.7247372
Caldermeade,VIC,3984,-38.3114378,145.5579927,-38.1914999,145.6942849,-38.447435,145.4164057
Caldervale,QLD,4478,-24.9865124,146.382423,-24.2949676,147.2963937,-25.7547136,145.3198352
Calderwood,NSW,2527,-34.5764532,150.7562989,-34.5432597,150.8453984,-34.6220993,150.643814
Calen,QLD,4798,-20.8119331,148.7717042,-20.6702312,148.849857,-20.9349452,148.6480668
California Gully,VIC,3556,-36.6478425,144.1938221,-36.568183,144.302936,-36.73863,144.047431
Calingiri,WA,6569,-31.0946851,116.3957812,-30.9887364,116.6125903,-31.2480929,116.2711251
Calingunee,QLD,4390,-28.5406528,150.3040002,-27.9168731,151.0571063,-28.6126603,149.8600723
Caliph,SA,5310,-34.6774727,140.3069088,-34.5636304,140.367808,-34.8700284,140.1770918
Calista,WA,6167,-32.2244737,115.8403461,-32.1803251,115.9008054,-32.2598879,115.7551309
Calivil,VIC,3573,-36.1663341,144.3904526,-36.0376619,144.4816229,-36.3191668,144.008046
Caljie,WA,6302,-32.022557,116.5137964,-31.6941243,117.1582315,-32.3575952,116.2800473
Callaghan,NSW,2308,-32.8930342,151.7034879,-32.8831588,151.7138528,-32.8974864,151.6949617
Callandoon,QLD,4390,-28.5406528,150.3040002,-27.9168731,151.0571063,-28.6126603,149.8600723
Callawadda,VIC,3387,-36.8204775,142.8312661,-36.6309229,143.031794,-36.9978258,142.7119218
Callcup,WA,6260,-34.3994251,115.8048521,-34.1807817,116.21793,-34.671955,115.531822
Callemondah,QLD,4680,-23.8783576,151.2463137,-23.4414555,151.4746764,-24.6682405,150.6847482
Callide,QLD,4715,-24.6360972,150.3037323,-24.0106768,150.9836596,-24.890776,150.1536491
Callignee,VIC,3844,-38.2728501,146.5840737,-38.1039939,146.8348069,-38.4423749,146.4230938
Callignee North,VIC,3844,-38.2728501,146.5840737,-38.1039939,146.8348069,-38.4423749,146.4230938
Callignee South,VIC,3844,-38.2728501,146.5840737,-38.1039939,146.8348069,-38.4423749,146.4230938
Calliope,QLD,4680,-23.8783576,151.2463137,-23.4414555,151.4746764,-24.6682405,150.6847482
Calomba,SA,5501,-34.4875437,138.3589086,-34.2441765,138.6301872,-34.6763213,138.2245887
Caloote,SA,5254,-35.0380696,139.1625989,-34.9231862,139.3670703,-35.2535503,138.9334954
Caloundra,QLD,4551,-26.7977396,153.1359352,-26.7393413,153.1507971,-26.8533422,153.0279064
Caloundra West,QLD,4551,-26.7977396,153.1359352,-26.7393413,153.1507971,-26.8533422,153.0279064
Calperum Station,SA,5341,-33.7748397,140.5964124,-33.5193253,141.0027787,-34.2692921,140.2493915
Calrossie,VIC,3971,-38.5613687,146.6065057,-38.3929499,146.8685003,-38.7913265,146.3915339
Caltowie,SA,5490,-33.1791929,138.4587382,-33.0768291,138.5608022,-33.2711095,138.3241443
Caltowie North,SA,5490,-33.1791929,138.4587382,-33.0768291,138.5608022,-33.2711095,138.3241443
Caltowie West,SA,5490,-33.1791929,138.4587382,-33.0768291,138.5608022,-33.2711095,138.3241443
Calulu,VIC,3875,-37.6874281,147.5532762,-37.2049709,147.8452944,-38.073053,147.3006548
Calvert,QLD,4340,-27.7418746,152.4973826,-27.5662974,152.6748489,-27.9614881,152.3827875
Calwell,ACT,2905,-35.4366428,149.1099161,-35.4049222,149.1456101,-35.4611937,149.0642641
Camballin,WA,6728,-17.0965983,125.5657862,-15.5100989,126.7786961,-19.5016285,123.0012896
Cambalong,NSW,2632,-36.9411375,149.1960526,-36.6801472,149.6503276,-37.2629803,148.9534114
Cambarville,VIC,3779,-37.6356131,146.0696009,-37.4355063,146.1426677,-37.726007,145.6766279
Camberwell,VIC,3124,-37.8334095,145.0658766,-37.8204477,145.0981543,-37.8508269,145.0531366
Camboon,NSW,2849,-32.7056049,150.1184797,-32.3028066,150.6197814,-33.2094974,149.8243176
Camboon,QLD,4719,-25.1114621,150.1184797,-24.7281845,150.6059698,-25.4904507,149.7132396
Cambooya,QLD,4358,-27.7118713,151.8569756,-27.6723885,152.0606015,-27.9215664,151.6391685
Cambrai,SA,5353,-34.5869221,139.3247147,-34.4305256,139.6661939,-34.7568619,139.0003773
Cambrian Hill,VIC,3352,-37.7122033,143.8671868,-37.1152091,144.1788786,-38.0220729,143.455862
Cambridge,QLD,4822,-20.031224,143.045893,-19.0020337,143.790081,-21.6674941,142.0376056
Cambridge,TAS,7170,-42.8507505,147.4680759,-42.7740957,147.6133831,-42.9064656,147.3827832
Cambridge Gardens,NSW,2747,-33.7568098,150.7330562,-33.6829467,150.8167443,-33.783414,150.7097358
Camden,NSW,2570,-34.0252949,150.6285091,-33.9449619,150.7623613,-34.1498476,150.4090403
Camden Head,NSW,2443,-31.7402243,152.7088752,-31.5073684,152.8495343,-31.8549625,152.5085992
Camden Park,NSW,2570,-34.0252949,150.6285091,-33.9449619,150.7623613,-34.1498476,150.4090403
Camden Park,SA,5038,-34.9670082,138.5537441,-34.9500987,138.5651735,-34.9828109,138.5366055
Camellia,NSW,2142,-33.8323277,151.006385,-33.8143133,151.0511031,-33.8713044,150.9922083
Camena,TAS,7316,-41.2131788,145.9953725,-41.0705678,146.12035,-41.3644035,145.8452155
Cameron Park,NSW,2285,-32.9110348,151.6187438,-32.8799476,151.6863168,-32.9625095,151.585802
Camerons Creek,NSW,2359,-30.1352024,151.0005643,-29.9027094,151.3268337,-30.429253,150.79309
Camillo,WA,6111,-32.1384821,116.1832068,-32.0274174,116.3576369,-32.2875972,115.9630031
Camira,QLD,4300,-27.6453606,152.908824,-27.589749,152.9416565,-27.7081948,152.8672052
Cammeray,NSW,2062,-33.8228068,151.2146155,-33.8157511,151.2259711,-33.8297911,151.2045773
Camoola,QLD,4730,-23.8164969,143.2180495,-22.4965768,144.6620329,-24.8721116,141.7811019
Camooweal,QLD,4828,-19.9206858,138.1213302,-19.1812522,139.2052839,-20.2312086,137.9959546
Camp Hill,QLD,4152,-27.5070527,153.1030766,-27.4737189,153.1257766,-27.536374,153.0630223
Campania,TAS,7026,-42.6170473,147.4454484,-42.5283639,147.533926,-42.7069144,147.2956631
Campbell,ACT,2612,-35.2792021,149.1414924,-35.2603562,149.1655252,-35.3054157,149.1132112
Campbell Creek,QLD,4625,-25.6051205,151.6070583,-25.2528743,152.0250153,-26.0095904,151.306793
Campbell Town,TAS,7210,-41.9609817,147.6479099,-41.8001864,147.9981658,-42.1577289,147.161549
Campbellfield,VIC,3061,-37.665113,144.955677,-37.6414,144.9777664,-37.6910048,144.9347769
Campbells Bridge,VIC,3387,-36.8204775,142.8312661,-36.6309229,143.031794,-36.9978258,142.7119218
Campbells Forest,VIC,3556,-36.6478425,144.1938221,-36.568183,144.302936,-36.73863,144.047431
Campbells Pocket,QLD,4521,-27.1352804,152.8029443,-27.0234595,152.8916671,-27.2972211,152.6761386
Campbelltown,NSW,2560,-34.2364674,150.8144215,-34.0343676,150.9345202,-34.3952703,150.7187812
Campbelltown,SA,5074,-34.8806117,138.6714773,-34.8717195,138.6919492,-34.8894817,138.6471404
Camperdown,NSW,2006,-33.8877655,151.1883894,-33.8844465,151.1946934,-33.8914805,151.1790454
Camperdown,NSW,2050,-33.8899117,151.1767348,-33.8827039,151.1844178,-33.8946184,151.1715445
Camperdown,VIC,3260,-38.1491105,143.1319209,-38.0228434,143.4807871,-38.4645917,142.992192
Campoona,SA,5640,-33.5787333,136.400872,-33.2736868,136.6708533,-33.801618,136.115313
Campsie,NSW,2194,-33.9105784,151.1024569,-33.9017586,151.1156778,-33.9269853,151.0911132
Campvale,NSW,2318,-32.753389,151.8643252,-32.6594833,151.9734024,-32.8670257,151.7624657
Campwin Beach,QLD,4737,-21.4226027,149.2167555,-21.3185643,149.3368978,-21.6468675,148.9021963
Cams Wharf,NSW,2281,-33.1170985,151.6362736,-33.0627923,151.6656899,-33.1695327,151.5971705
Canada Bay,NSW,2046,-33.8566687,151.1315813,-33.8436757,151.1498009,-33.8741901,151.1116136
Canadian,VIC,3350,-37.5691087,143.8563224,-37.5208708,143.9322439,-37.642819,143.7381991
Canaga,QLD,4413,-26.3724452,150.7679216,-25.5988303,151.2241709,-27.0673632,150.2717814
Canary Island,VIC,3537,-36.0772722,143.6935405,-35.9323909,143.9183929,-36.196415,143.4756882
Canberra,ACT,2600,-35.3075699,149.1099161,-35.2858382,149.1775766,-35.3282893,149.0724373
Canberra,ACT,2601,-35.2809942,149.1213974,-35.2653714,149.1376675,-35.2968579,149.0975111
Cancanning,WA,6315,-33.3563263,117.2676116,-33.0318366,117.8407231,-33.5178763,116.9002803
Cania,QLD,4630,-24.8662907,151.1241149,-24.3920805,151.5763466,-25.2384149,150.5395858
Caniambo,VIC,3630,-36.4615673,145.5579927,-36.3207199,145.6677833,-36.520717,145.3519059
Canley Heights,NSW,2166,-33.8961316,150.9365521,-33.8742853,150.9795527,-33.9109701,150.8994916
Canley Vale,NSW,2166,-33.8961316,150.9365521,-33.8742853,150.9795527,-33.9109701,150.8994916
Cann River,VIC,3890,-37.5621735,149.1960526,-37.142752,149.4421933,-37.8038258,149.0286325
Canna,WA,6627,-28.8381495,115.9940986,-28.7262336,116.1646636,-29.035431,115.6219049
Cannawigara,SA,5268,-36.4269352,140.8040271,-36.0340496,140.9688032,-36.6692705,140.5392659
Cannie,VIC,3540,-35.8651458,143.5202874,-35.7141099,143.664516,-35.9752804,143.3886904
Cannindah,QLD,4630,-24.8662907,151.1241149,-24.3920805,151.5763466,-25.2384149,150.5395858
Canning Mills,WA,6111,-32.1384821,116.1832068,-32.0274174,116.3576369,-32.2875972,115.9630031
Canning Vale,WA,6155,-32.0819784,115.91132,-32.03866,115.9516258,-32.1154985,115.8710097
Canning Vale DC,WA,6155,-32.0819784,115.91132,-32.03866,115.9516258,-32.1154985,115.8710097
Canning Vale South,WA,6155,-32.0819784,115.91132,-32.03866,115.9516258,-32.1154985,115.8710097
Cannington,WA,6107,-32.0121014,115.9645378,-31.9879301,116.0282652,-32.049719,115.8975815
Cannon Creek,QLD,4310,-28.0413603,152.6853649,-27.8513151,152.9038133,-28.3389356,152.4582055
Cannon Hill,QLD,4170,-27.4620175,153.0750052,-27.4440058,153.1127681,-27.4876645,153.0492277
Cannons Creek,VIC,3977,-38.1347885,145.2811778,-38.0658144,145.3509789,-38.2206366,145.1871599
Cannonvale,QLD,4802,-20.2674989,148.7169163,-19.9948684,150.6919179,-20.6214132,148.5524922
Cannum,VIC,3393,-36.2167744,142.4039296,-35.9812429,142.7336139,-36.432302,142.1283736
Canoelands,NSW,2157,-33.5420387,151.0122058,-33.4604871,151.1627793,-33.6367936,150.9357333
Canonba,NSW,2825,-31.7929088,147.1013188,-31.0519102,147.6371667,-32.1715587,146.385318
Canowie,SA,5419,-33.3414846,139.0009403,-33.0976089,139.3545965,-33.5486832,138.7150071
Canowie Belt,SA,5420,-33.2023242,138.8397403,-33.1009325,138.9497846,-33.3191847,138.7285106
Canowindra,NSW,2804,-33.5565485,148.6001005,-33.3720989,148.8454637,-33.7135173,148.4365636
Canterbury,NSW,2193,-33.909932,151.1199309,-33.8955206,151.1349917,-33.9233776,151.1082281
Canterbury,VIC,3126,-37.8245223,145.0741474,-37.8140709,145.0876355,-37.8344302,145.0586869
Canton Beach,NSW,2263,-33.2504355,151.5077645,-33.2079801,151.5794902,-33.2984092,151.4734608
Canungra,QLD,4275,-28.0380223,153.1796489,-27.9052057,153.2388765,-28.2802137,153.0658855
Canyonleigh,NSW,2577,-34.6253671,150.4428323,-34.3675458,150.7698833,-34.840692,150.0454625
Capalaba,QLD,4157,-27.5819961,153.1979543,-27.5133981,153.2356061,-27.6125717,153.1715248
Cape Barren Island,TAS,7257,-40.3982432,148.2014488,-40.2907614,148.4818872,-40.5942892,147.8363327
Cape Bridgewater,VIC,3305,-38.290126,141.4706543,-38.0374368,141.6970433,-38.4329732,141.2243893
Cape Cleveland,QLD,4810,-19.35682,147.0379125,-19.1803337,147.1202374,-19.4468769,146.701059
Cape Douglas,SA,5291,-37.9551815,140.7091777,-37.6217668,140.972268,-38.0626948,140.3722201
Cape Gloucester,QLD,4800,-20.4049878,148.5807213,-20.0602464,148.9315063,-20.7358392,148.2517151
Cape Jervis,SA,5204,-35.5878122,138.1995591,-35.4029811,138.3753748,-35.6658887,138.0925514
Cape Otway,VIC,3233,-38.7494709,143.6285244,-38.677739,143.7399771,-38.8576939,143.4933339
Cape Pillar,TAS,7182,-43.1331509,147.9243011,-43.036351,148.0115186,-43.2277069,147.7923292
Cape Range National Park,WA,6707,-22.6773469,114.2390498,-21.785387,114.7539956,-23.0114409,113.7335304
Cape Raoul,TAS,7184,-43.1737113,147.7373056,-43.0422207,147.8218033,-43.2423589,147.6223883
Cape Schanck,VIC,3939,-38.4218526,144.8951287,-38.3494372,144.9552767,-38.4999344,144.8298611
Cape Woolamai,VIC,3925,-38.5282425,145.3862638,-38.4934126,145.4534336,-38.5675336,145.3041642
Capel,WA,6271,-33.5859042,115.5799503,-33.4652295,115.7276625,-33.6728148,115.4531544
Capel River,WA,6271,-33.5859042,115.5799503,-33.4652295,115.7276625,-33.6728148,115.4531544
Capel Sound,VIC,3940,-38.3745297,144.8786231,-38.3593073,144.8891134,-38.386481,144.8578741
Capertee,NSW,2846,-33.1446203,150.0722053,-33.0205876,150.4655019,-33.2375531,149.8980645
Capital Hill,ACT,2600,-35.3075699,149.1099161,-35.2858382,149.1775766,-35.3282893,149.0724373
Capoompeta,NSW,2371,-29.3880642,151.6070583,-29.1902885,152.1426772,-29.5613675,151.2262066
Captain Creek,QLD,4677,-24.3287726,151.5580962,-23.9577532,151.9673921,-24.5410849,151.4153494
Captains Flat,NSW,2623,-35.576588,149.4490642,-35.5047646,149.5182318,-35.6389694,149.3307732
Caraban,WA,6041,-31.3537325,115.5917918,-31.2464885,115.6925747,-31.455239,115.4433063
Carabooda,WA,6033,-31.5988865,115.7160969,-31.5617038,115.7515281,-31.6242432,115.6880079
Carag Carag,VIC,3623,-36.4617737,144.9832134,-36.4263569,145.0501221,-36.4989833,144.8498855
Caragabal,NSW,2810,-33.9363618,148.0982046,-33.6263529,148.3866892,-34.1183148,147.5070416
Caralulup,VIC,3371,-37.2153546,143.6718623,-37.108574,143.8118863,-37.316476,143.536086
Caramut,VIC,3274,-37.9386771,142.5105224,-37.8540505,142.625284,-38.0529024,142.3815812
Caravonica,QLD,4878,-16.8314187,145.6908596,-16.794331,145.7700045,-16.8816663,145.6710437
Carbine Creek,QLD,4723,-23.0806588,148.0242583,-22.6931154,148.6244233,-23.4849335,147.6652412
Carbrook,QLD,4130,-27.6740515,153.2267554,-27.6394684,153.2903507,-27.6975173,153.1887859
Carcoar,NSW,2791,-33.6022084,149.1271385,-33.4859513,149.2248746,-33.6835732,148.9830843
Carcuma,SA,5301,-35.5247462,140.1009527,-35.2184388,140.4048132,-35.6493838,139.6196018
Cardiff,NSW,2285,-32.9110348,151.6187438,-32.8799476,151.6863168,-32.9625095,151.585802
Cardiff,WA,6225,-33.3775705,116.2777073,-32.9945778,116.6804108,-33.7036876,115.918585
Cardiff Heights,NSW,2285,-32.9110348,151.6187438,-32.8799476,151.6863168,-32.9625095,151.585802
Cardiff South,NSW,2285,-32.9110348,151.6187438,-32.8799476,151.6863168,-32.9625095,151.585802
Cardinia,VIC,3978,-38.140252,145.3807298,-38.074508,145.4522431,-38.1839969,145.3076689
Cardross,VIC,3496,-34.3907124,141.4309582,-33.9812828,142.3977978,-34.550287,140.9619025
Cardstone,QLD,4854,-17.983313,145.8023118,-17.713586,146.0918169,-18.2263756,145.5725552
Cardup,WA,6122,-32.2702417,116.0650307,-32.179658,116.1129586,-32.3141895,115.951905
Cardwell,QLD,4849,-18.3022077,146.1588712,-18.1241473,146.3969487,-18.5333204,145.7181332
Carew,SA,5270,-36.4029199,140.5549719,-36.2529642,140.7236448,-36.5061344,140.4314896
Carey Gully,SA,5144,-34.966565,138.7743842,-34.9467881,138.7916688,-34.984196,138.745004
Carey Park,WA,6230,-33.3870825,115.6273131,-33.3003755,115.7030583,-33.459368,115.5875127
Cargerie,VIC,3334,-37.7625944,144.0630048,-37.6583519,144.1904169,-37.8276265,143.9128481
Carina,QLD,4152,-27.5070527,153.1030766,-27.4737189,153.1257766,-27.536374,153.0630223
Carina,VIC,3512,-35.1673606,141.095836,-34.8660119,141.299844,-35.4158676,140.9654194
Carina Heights,QLD,4152,-27.5070527,153.1030766,-27.4737189,153.1257766,-27.536374,153.0630223
Carinda,NSW,2831,-31.038393,146.741207,-30.064509,149.491992,-32.4536235,145.5733889
Carindale,QLD,4152,-27.5070527,153.1030766,-27.4737189,153.1257766,-27.536374,153.0630223
Carine,WA,6020,-31.825112,115.7516025,-31.8167751,115.8013154,-31.8685586,115.7414941
Caringbah,NSW,2229,-34.0460194,151.1228434,-34.0054294,151.1452383,-34.0757948,151.1025568
Caringbah South,NSW,2229,-34.0460194,151.1228434,-34.0054294,151.1452383,-34.0757948,151.1025568
Carisbrook,VIC,3464,-37.0150311,143.8454596,-36.9597585,143.9382298,-37.0977909,143.775538
Carlingford,NSW,2118,-33.7799114,151.0413133,-33.7584647,151.068076,-33.7917183,151.0212048
Carlisle,WA,6101,-31.9846562,115.9083631,-31.9686818,115.9300197,-32.0009278,115.8888915
Carlisle River,VIC,3239,-38.5619202,143.4122052,-38.4710118,143.6518059,-38.6948039,143.20324
Carlotta,WA,6275,-34.0365179,115.7575196,-33.6592902,115.9798663,-34.4066469,115.3370682
Carlsruhe,VIC,3442,-37.3324774,144.5437205,-37.2363959,144.6947996,-37.4598981,144.4247633
Carlton,NSW,2218,-33.9712426,151.1199309,-33.9598921,151.131071,-33.981578,151.1081724
Carlton,TAS,7173,-42.8403868,147.6846018,-42.7787784,147.76499,-42.9036351,147.5945144
Carlton,VIC,3053,-37.798389,144.9694441,-37.7922601,144.9757156,-37.8079229,144.958471
Carlton North,VIC,3054,-37.7843702,144.9694441,-37.7780426,144.978136,-37.793226,144.9588851
Carlton River,TAS,7173,-42.8403868,147.6846018,-42.7787784,147.76499,-42.9036351,147.5945144
Carlton South,VIC,3053,-37.798389,144.9694441,-37.7922601,144.9757156,-37.8079229,144.958471
Carlyle,VIC,3685,-36.0564816,146.4495924,-35.957559,146.6682867,-36.1363126,146.1749674
Carmila,QLD,4739,-21.8119895,149.3339956,-21.7446034,149.4911733,-22.015532,149.2445493
Carmoo,QLD,4852,-17.8666147,146.0972186,-17.7872061,146.2189971,-18.0586561,146.0206257
Carnamah,WA,6517,-29.722497,115.8994923,-29.5155999,116.1630714,-29.9088287,115.5789902
Carnegie,VIC,3163,-37.8950779,145.0548502,-37.88102,145.0781826,-37.9081449,145.036139
Carnes Hill,NSW,2171,-33.9333763,150.8434913,-33.8746906,150.8736587,-33.9521696,150.8192421
Carole Park,QLD,4300,-27.6453606,152.908824,-27.589749,152.9416565,-27.7081948,152.8672052
Caroline,SA,5291,-37.9551815,140.7091777,-37.6217668,140.972268,-38.0626948,140.3722201
Caroline Springs,VIC,3023,-37.7687064,144.7521888,-37.7033042,144.8059178,-37.7960464,144.716344
Carool,NSW,2486,-28.2187657,153.4744054,-28.1570206,153.5630014,-28.2723696,153.389656
Carpendale,QLD,4344,-27.5496811,152.1238169,-27.4067305,152.218654,-27.7065028,151.95274
Carpentaria,QLD,4823,-20.975595,141.6834275,-17.569437,142.6565142,-22.7812414,139.7446347
Carpenter Rocks,SA,5291,-37.9551815,140.7091777,-37.6217668,140.972268,-38.0626948,140.3722201
Carrabin,WA,6423,-31.1287561,118.7198004,-30.8113171,118.9574793,-31.555424,118.6209645
Carrabolla,NSW,2311,-32.2611927,151.4668962,-32.0424717,151.6632921,-32.4623203,151.3037456
Carrajung,VIC,3844,-38.2728501,146.5840737,-38.1039939,146.8348069,-38.4423749,146.4230938
Carrajung Lower,VIC,3844,-38.2728501,146.5840737,-38.1039939,146.8348069,-38.4423749,146.4230938
Carramar,NSW,2163,-33.884368,150.9801939,-33.8724207,150.9943485,-33.9035971,150.9580371
Carramar,WA,6031,-31.6884631,115.7693535,-31.6595956,115.8196405,-31.7223404,115.7313815
Carranballac,VIC,3361,-37.7488709,143.3474304,-37.6116738,143.4575726,-37.8412184,143.081697
Carrathool,NSW,2711,-33.9871774,144.4342138,-33.2173583,145.7233148,-34.8939095,143.5339732
Carrick,TAS,7291,-41.5489842,147.0184513,-41.4995205,147.0950416,-41.5838469,146.9493081
Carrickalinga,SA,5204,-35.5878122,138.1995591,-35.4029811,138.3753748,-35.6658887,138.0925514
Carrington,NSW,2294,-32.9123334,151.7663428,-32.9025963,151.7769285,-32.9236048,151.7590688
Carrington,NSW,2324,-32.6400424,151.9111422,-32.5297336,152.2919565,-32.8034856,151.6524634
Carrington,QLD,4883,-17.2661339,145.4858493,-17.2140855,145.5882454,-17.4646761,145.4164934
Carrolup,WA,6317,-33.6278441,117.6904167,-33.3061056,117.9665071,-33.7882476,117.3270799
Carron,VIC,3480,-36.3286415,142.9170407,-36.1058845,143.2072699,-36.5628149,142.631545
Carrum,VIC,3197,-38.0742262,145.1431018,-38.0515798,145.1562542,-38.0850949,145.1198368
Carrum Downs,VIC,3201,-38.0975353,145.1706992,-38.0673953,145.2030867,-38.1267728,145.1488728
Carseldine,QLD,4034,-27.3645676,153.0441933,-27.3283044,153.0930267,-27.3833577,153.0010692
Carss Park,NSW,2221,-33.9919897,151.1111936,-33.9715654,151.1246096,-34.0035891,151.0848648
Carstairs,QLD,4806,-19.9245624,147.3722545,-19.6229053,147.6647318,-20.0958513,147.2189339
Carters Ridge,QLD,4563,-26.4240134,152.8852905,-26.3524671,153.006634,-26.4994046,152.7479777
Cartmeticup,WA,6316,-33.5301361,117.4086488,-33.3842797,117.6912508,-33.6549441,117.0829565
Cartwright,NSW,2168,-33.9117729,150.8783824,-33.8943863,150.9077494,-33.9278929,150.848468
Carwarp,VIC,3494,-34.540636,142.1487691,-34.3623246,142.4242879,-34.6894453,141.9930328
Carwell,NSW,2849,-32.7056049,150.1184797,-32.3028066,150.6197814,-33.2094974,149.8243176
